Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Model number (product.metafields.custom.model_number),Application (product.metafields.custom.applications),Specifications (product.metafields.custom.specifications),Features (product.metafields.custom.features),Source slug (product.metafields.custom.source_slug)
"mobile-l-frame","Mobile L-Frame Transport Rack","<p>A mobile single-sided L-frame without a centre post, created for efficient access in constrained spaces.</p><h3>Applications</h3><p>Narrow warehouses, glass and stone production, staging aisles, and wall-side storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Mobile Rack","FALSE","Title","Default Title","Mobile L-Frame","shopify","deny","manual","1345","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/mobile-l-frame.webp","1","Single-sided mobile rack for narrow warehouse use","draft","Mobile L-Frame","Narrow warehouses, glass and stone production, staging aisles, and wall-side storage.","<ul><li><strong>Capacity:</strong> 3,000 lb per side</li><li><strong>Dimensions:</strong> 72 L x 30 W x 60 H in</li><li><strong>Front pole:</strong> 30 in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li></ul>","<ul><li>No centre post</li><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","mobile-l-frame"
"stone-fabrication-a-frame","Stone Fabrication A-Frame","<p>A compact double-sided A-frame configured for stone fabrication environments.</p><h3>Applications</h3><p>Stone fabrication facilities, countertop production, slab staging, and work-in-progress storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, A-Frame","FALSE","Title","Default Title","Double-Sided Stone A-Frame","shopify","deny","manual","475","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/stone-fabrication-a-frame.webp","1","Double-sided rack for stone fabrication facilities","draft","Double-Sided Stone A-Frame","Stone fabrication facilities, countertop production, slab staging, and work-in-progress storage.","<ul><li><strong>Capacity:</strong> 9,000 lb per side</li><li><strong>Dimensions:</strong> 60 W x 58 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","stone-fabrication-a-frame"
"solo-shelf-rack","Solo Shelf Rack","<p>A two-piece single-sided rack system for flexible slab and panel positioning.</p><h3>Applications</h3><p>Paint shops, fabrication facilities, narrow work areas, and flexible material staging.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Single-Sided Rack","FALSE","Title","Default Title","Solo Shelf Rack - 2 Piece","shopify","deny","manual","1550","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/solo-shelf-rack.webp","1","Two-piece Solo Shelf Rack in a paint facility","draft","Solo Shelf Rack - 2 Piece","Paint shops, fabrication facilities, narrow work areas, and flexible material staging.","<ul><li><strong>Capacity:</strong> 5,200 lb per side</li><li><strong>Dimensions:</strong> 34 L x 39 W x 57 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li></ul>","<ul><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","solo-shelf-rack"
"one-side-l-frame","One-Side L-Frame for Glass","<p>A high-capacity single-sided L-frame developed for glass sheets and large panels.</p><h3>Applications</h3><p>Glass manufacturing, glazing operations, window and door production, and sheet storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Single-Sided Rack","FALSE","Title","Default Title","One-Side L-Frame","shopify","deny","manual","1350","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/one-side-l-frame.webp","1","One-side L-frame carrying large glass sheets","draft","One-Side L-Frame","Glass manufacturing, glazing operations, window and door production, and sheet storage.","<ul><li><strong>Capacity:</strong> 8,500 lb per side</li><li><strong>Dimensions:</strong> 72 L x 30 W x 60 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li></ul>","<ul><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","one-side-l-frame"
"heavy-duty-double-sided-a-frame","Heavy Duty Double-Sided A-Frame","<p>A compact heavy-duty double-sided rack for high-capacity slab storage.</p><h3>Applications</h3><p>Stone, glass, wood panels, fabrication plants, and industrial warehouses.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, A-Frame","FALSE","Title","Default Title","Heavy Duty Double-Sided A-Frame","shopify","deny","manual","1450","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/heavy-duty-double-sided-a-frame.webp","1","Heavy-duty double-sided A-frame storage rack","draft","Heavy Duty Double-Sided A-Frame","Stone, glass, wood panels, fabrication plants, and industrial warehouses.","<ul><li><strong>Capacity:</strong> 9,000 lb per side</li><li><strong>Dimensions:</strong> 72 L x 30 W x 60 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","heavy-duty-double-sided-a-frame"
"multi-purpose-slab-rack","Multi-Purpose Slab Rack","<p>A configurable post-and-rail slab rack for flexible storage of heavy stone, glass, and panel materials.</p><h3>Applications</h3><p>Stone yards, glass facilities, warehouses, fabrication operations, and configurable slab storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Slab Rack","FALSE","Title","Default Title","PSE PS10","shopify","deny","manual","2850","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/multi-purpose-slab-rack.webp","1","Multi-purpose slab rack with capped steel posts","draft","PSE PS10","Stone yards, glass facilities, warehouses, fabrication operations, and configurable slab storage.","<ul><li><strong>Work load limit:</strong> 6,000 lb / 2,721.55 kg</li><li><strong>Dimensions:</strong> 120 L x 8 W x 60 H in</li><li><strong>Net weight per pair:</strong> 690 lb / 313 kg</li><li><strong>Poles / holes:</strong> 10 / 10</li><li><strong>Post options:</strong> 60, 48, or 36 in</li></ul>","<ul><li>Configurable removable post system</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","multi-purpose-slab-rack"
"heavy-duty-bundle-slab-rack","Heavy-Duty Bundle Slab Rack With Rubber Cap","<p>A reinforced post-and-rail storage system for heavy slab bundles, with protective timber and capped uprights.</p><h3>Applications</h3><p>Stone distributors, slab warehouses, fabrication facilities, and high-capacity bundle storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Slab Rack, featured","FALSE","Title","Default Title","PSE PS10","shopify","deny","manual","3400","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/heavy-duty-bundle-slab-rack.webp","1","Heavy-duty bundle slab rack with capped steel posts storing stone slabs","draft","PSE PS10","Stone distributors, slab warehouses, fabrication facilities, and high-capacity bundle storage.","<ul><li><strong>Work load limit:</strong> 6,000 lb / 2,721.55 kg</li><li><strong>Dimensions:</strong> 120 L x 8 W x 63 H in</li><li><strong>Net weight per pair:</strong> 925 lb / 420 kg</li><li><strong>Poles / holes:</strong> 10 / 11</li><li><strong>Post options:</strong> 63, 48, or 36 in</li></ul>","<ul><li>5 mm wall extra-strong square steel posts</li><li>Heavy-duty steel base rails</li><li>Timber protection on base rails</li><li>Square rubber caps on uprights</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","heavy-duty-bundle-slab-rack"
"one-side-frame-narrow-warehouse","One Side Frame for Narrow Warehouse","<p>A single-sided frame for narrow warehouse aisles where slab and panel materials need compact wall-side support.</p><h3>Applications</h3><p>Narrow warehouses, stone and glass storage aisles, showrooms, and compact fabrication facilities.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Single-Sided Rack","FALSE","Title","Default Title","One Side Frame","shopify","deny","manual","925","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/one-side-frame-narrow-warehouse.webp","1","One-side frame for narrow warehouse slab storage","draft","One Side Frame","Narrow warehouses, stone and glass storage aisles, showrooms, and compact fabrication facilities.","<ul><li><strong>Capacity:</strong> 9,000 lb per side</li><li><strong>Dimensions:</strong> 72 L x 30 W x 60 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","one-side-frame-narrow-warehouse"
"heavy-duty-bundle-slab-rack-standard","Heavy-Duty Bundle Slab Rack","<p>A heavy-duty post-and-rail rack for organized slab bundle storage without rubber-cap uprights.</p><h3>Applications</h3><p>Stone distributors, slab warehouses, fabrication facilities, and high-capacity bundle storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Slab Rack","FALSE","Title","Default Title","PSE PS10","shopify","deny","manual","2850","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/heavy-duty-bundle-slab-rack-standard.webp","1","Heavy-duty bundle slab rack storing stone bundles","draft","PSE PS10","Stone distributors, slab warehouses, fabrication facilities, and high-capacity bundle storage.","<ul><li><strong>Work load limit:</strong> 6,481 lb / 2,940 kg</li><li><strong>Dimensions:</strong> 120 L x 8 W x 60 H in</li><li><strong>Poles / holes:</strong> 10 / 10</li><li><strong>Post height:</strong> 60 in</li></ul>","<ul><li>Configurable removable post system</li><li>Heavy-duty steel base rails</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","heavy-duty-bundle-slab-rack-standard"
"heavy-duty-mobile-transport-frame","Heavy Duty Mobile Transport Frame","<p>A wheeled 2 x 2 in square-pipe transport frame for moving long materials, assemblies, and work-in-progress around industrial sites.</p><h3>Applications</h3><p>Fabrication shops, warehouses, material staging, construction yards, and mobile production support.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Mobile Transport Frame, featured","FALSE","Title","Default Title","Heavy Duty Mobile Transport Frame","shopify","deny","manual","1025","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-mobile-transport-frame.webp","1","Blue heavy-duty mobile transport frame on casters","draft","Heavy Duty Mobile Transport Frame","Fabrication shops, warehouses, material staging, construction yards, and mobile production support.","<ul><li><strong>Capacity:</strong> 1,800 lb per side</li><li><strong>Dimensions:</strong> 96 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-mobile-transport-frame"
"three-tier-triple-stacker-table","3-Tier Triple Stacker Table","<p>A three-tier mobile table frame for organizing parts, cartons, fixtures, and production materials across multiple levels.</p><h3>Applications</h3><p>Assembly areas, production lines, warehouse staging, packing stations, and work-in-progress movement.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Stacker Table","FALSE","Title","Default Title","3-Tier Triple Stacker Table","shopify","deny","manual","810","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/three-tier-triple-stacker-table.webp","1","Blue three-tier triple stacker table on casters","draft","3-Tier Triple Stacker Table","Assembly areas, production lines, warehouse staging, packing stations, and work-in-progress movement.","<ul><li><strong>Capacity:</strong> 1,600 lb per side</li><li><strong>Dimensions:</strong> 72 L x 36 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Three-tier storage layout</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","three-tier-triple-stacker-table"
"heavy-duty-industrial-platform-cart","Heavy Duty Industrial Platform Cart","<p>A compact mobile platform cart frame for industrial movement, staging, and shop-floor support.</p><h3>Applications</h3><p>Warehouses, fabrication shops, assembly areas, shipping departments, and production staging.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Platform Cart","FALSE","Title","Default Title","Heavy Duty Industrial Platform Cart","shopify","deny","manual","675","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-industrial-platform-cart.webp","1","Blue heavy-duty industrial platform cart frame","draft","Heavy Duty Industrial Platform Cart","Warehouses, fabrication shops, assembly areas, shipping departments, and production staging.","<ul><li><strong>Capacity:</strong> 1,400 lb per side</li><li><strong>Dimensions:</strong> 72 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-industrial-platform-cart"
"garment-production-utility-cart","Garment Production Utility Cart","<p>A mobile utility cart with backsplash for garment production, light assembly, and organized shop-floor handling.</p><h3>Applications</h3><p>Garment production, textile workrooms, light manufacturing, kitting, packing, and mobile work support.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Utility Cart","FALSE","Title","Default Title","Garment Production Utility Cart","shopify","deny","manual","790","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/garment-production-utility-cart.webp","1","Black garment production utility cart with backsplash","draft","Garment Production Utility Cart","Garment production, textile workrooms, light manufacturing, kitting, packing, and mobile work support.","<ul><li><strong>Capacity:</strong> 650 lb per side</li><li><strong>Dimensions:</strong> 48 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 1.25 x 1.25 in square pipe</li><li><strong>Detail:</strong> With backsplash</li></ul>","<ul><li>Weather-resistant coating</li><li>Backsplash helps contain materials on the cart surface</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","garment-production-utility-cart"
"heavy-duty-six-wheel-work-table","Heavy-Duty 6-Wheel Work Table","<p>A long six-wheel work table frame that supports larger workpieces and mobile staging in demanding production spaces.</p><h3>Applications</h3><p>Stone, glass, metal, woodworking, assembly, and industrial material handling workflows.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Work Table","FALSE","Title","Default Title","Heavy-Duty 6-Wheel Work Table","shopify","deny","manual","1075","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-six-wheel-work-table.webp","1","Black heavy-duty six-wheel work table frame","draft","Heavy-Duty 6-Wheel Work Table","Stone, glass, metal, woodworking, assembly, and industrial material handling workflows.","<ul><li><strong>Capacity:</strong> 1,800 lb per side</li><li><strong>Dimensions:</strong> 96 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Six-wheel mobile support</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-six-wheel-work-table"
